pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
34930617,?18 years,women,High-grade serous ovarian cancer (HGSOC),Previously untreated HGSOC, FIGO Stage III or IV disease, primary or interval debulking surgery, residual disease status after primary surgery, paclitaxel dosing regimen, gBRCA status, geographic region (Japan vs Rest of World), BRCAm and HRD status,1113 patients,"1:1:1 randomization to carboplatin and paclitaxel plus placebo, carboplatin and paclitaxel plus veliparib with placebo maintenance, or carboplatin and paclitaxel plus veliparib with veliparib maintenance",Carboplatin and paclitaxel plus placebo,carboplatin and paclitaxel,,,Acceptance and Commitment-Based Therapy Program (ACBTP),,veliparib,"carboplatin and paclitaxel plus placebo, followed by placebo maintenance",,"nausea, neutropenia, peripheral sensory neuropathy, fatigue, anemia, TEAEs leading to veliparib/placebo discontinuation",fear of cancer recurrence (FCR),,,,,,,,,,,
34928708,52.8 ± 11.1 years,Male,Prostate cancer with metastases,"Presence of visceral metastases and/or at least four bone lesions with at least one beyond the vertebral column and pelvis, planned use of early chemotherapy with docetaxel, planned use of bone antiresorptive therapy, a comorbidity score of 2 or more according to the Adult Comorbidity Evaluation 27, and study site",N = 88,Enzalutamide 160 mg daily,"Active control (physician's choice of bicalutamide, nilutamide, or flutamide), together with testosterone suppression (luteinizing hormone–releasing hormone analog or orchidectomy)",enzalutamide,,,nutrition and exercise intervention (I, n = 987),,testosterone suppression,"active control (physician's choice of bicalutamide, nilutamide, or flutamide), together with testosterone suppression (luteinizing hormone–releasing hormone analog or orchidectomy)",,,No significant decline in QoL compared with UC,,,,,,,,,,,,,,,,,
34928484,"No specific pattern of SAEs was identified between age groups. While a higher percentage of patients aged ?70 years experienced grade 4 AEs (8%) compared with those aged < 70 years (3%), five of the six patients who had a grade 5 AE were aged < 70 years, and all were in the RAM + ERL arm.",not specified,"stage IV NSCLC; EGFR exon 19 deletion or exon 21 (L858R) mutation; ECOG PS 0 or 1; measurable disease by RECIST 1.1; adequate hematological and organ function; urinary protein ? 1+; exclusion criteria: known EGFR T790M mutation, CNS metastases, uncontrolled hypertension, significant bleeding",same as Condition,449 patients,221 (RAM + ERL arm),225 (PBO + ERL arm),ramucirumab,,supervised resistance exercise programme, home-based physical activity plan,,,,PBO + ERL,,"dermatitis acneiform, ALT increased, diarrhea, bilirubin increased, neutrophil count decreased, paronychia, proteinuria","health-related quality of life measures; anxiety, depression and sleep variables",,,,,,,,,,,,,,,,,
34922298,? legal age,"Male: 60.6%, Female: 39.4%; subgroup analysis suggests PFS benefit for females (median, 4.1 vs 2.8 months; HR, 0.59; 95% CI 0.28-1.23)","gallbladder cancer subgroup analysis suggests PFS benefit (median, 2.9 vs 1.6 months; HR, 0.55; 95% CI 0.26-1.19)",histologically or cytologically confirmed, received one prior line of systemic therapy (? 6 doses) containing gemcitabine, radiological evidence of disease progression after first-line therapy, RECIST v1.1 measurable disease, no biliary duct obstruction unless controlled by local treatment or decompressed by endoscopic or percutaneous stenting with subsequent bilirubin ? 1.5 × upper limit of normal, ECOG performance status 0 or 1, adequate hepatic and hematological function.,127,64,63,varlitinib,major surgical procedure,,,,capecitabine,placebo,no update,no update,"Median PFS: 4.1 months vs 2.8 months; HR, 0.59; 95% CI 0.28-1.23 (female patients); Median PFS: 2.9 months vs 1.6 months; HR, 0.55; 95% CI 0.26-1.19 (gallbladder cancer)",no update,no update,,,,,,,,,,
34921934,41 years,40% female,"stage III or IV non-small cell lung cancer, any stage small cell lung cancer, or recurrent lung cancer","English speaking, ? 21 years of age with a diagnosis of stage III or IV non-small cell lung cancer, any stage small cell lung cancer, or recurrent lung cancer, who were receiving treatment with chemotherapy or combined treatment. Any patient who needed emergent care or had fewer than monthly visits was excluded.",179 patients,SAMI group (n=88),AC group (n=91),"opioids, non-steroidal anti-inflammatory agents, laxatives, anti-depressants, anticonvulsants, corticosteroids",,referrals to physical therapy services,symptom toolkit,,Cloud-based CDS decision engine programmed with symptom management algorithms,concomitant usual care,,complications,"time to first bowel sound, first oral intake, and first defecation",,HR-QOL did not differ significantly between the groups at any time point.,,,,,,,,,,,,,,,,
34921525,,women,HER2+ breast cancer patients,randomized phase III trial,285,142,143,lapatinib,telerehabilitation sessions including pelvic floor muscle training once a week for 12 weeks,,,,,usual care,prevalence of UI on the International Consultation on Incontinence Questionnaire - Urinary Incontinence Short Form (ICIQ-UI-SF),total ICIQ-UI-SF score,pelvic pain,self-esteem,,,,,,,,,,,,,,,,,
34914845,53.2 years old,predominantly female,post-cancer treatment survivors with chronic insomnia,"history of non-metastatic, localized, or regional solid or blood malignancy(ies), completed primary cancer treatment (i.e., radiation, surgery, and/or chemotherapy), endorsed chronic insomnia (indicated by DSM-5 criteria and Insomnia Severity Index score ? 15 at screening), and were at least 18 years old. Survivors who were on hormonal and/or other long-term maintenance therapy agents were eligible to participate. Survivors were excluded if they were unable to speak and write in English, were unwilling or unable to discontinue night shift work, or had an undertreated non-insomnia sleep disorder (i.e., sleep apnea) or epilepsy, undertreated serious mental illness or suicidality, or had a psychiatric hospitalization in the past year.",180 patients enrolled,90,90,,surgery,,mobile coaching via a mobile app,virtual CBT-I,insomnia treatment resources,enhanced usual care (EUC) including email-based sleep hygiene tips and CBT-I referrals,,,,"changes in sleep efficiency, time in bed, sleep onset latency, wake after sleep onset",,,,,,,,,,,,,,,,,
34914339,?18 years,female,"hormone-receptor–positive, HER2-negative, nodal stage N1, noninflammatory breast cancer without distant metastasis","written informed consent, primary surgery with sentinel-node biopsy or axillary lymph-node dissection, eligible for a chemotherapy regimen that contained a taxane, an anthracycline, or both., premenopausal status defined as less than 6 months since last menstrual period, postmenopausal status defined as previous bilateral oophorectomy or more than 12 months since last menstrual period and no previous hysterectomy, otherwise categorized as premenopausal if younger than 50 years of age and as postmenopausal if 50 years of age or older",5083,402,144,chemoendocrine therapy,primary surgery with sentinel-node biopsy or axillary lymph-node dissection,,,,,endocrine therapy,not mentioned,not mentioned,chest drainage duration, air leak duration,"invasiveness of lung resection; chemotherapy benefit; hazard ratio for invasive disease recurrence, new primary cancer [breast cancer or another type], or death, 0.60; 95% CI, 0.43 to 0.83; P = 0.002; increases in invasive disease–free survival at 5 years",not mentioned,,,,,,,,,,,,,,,
34912120,18 years or older,not specified,HER2-positive advanced gastric or gastroesophageal cancer,"first-line therapy, previously untreated, unresectable or metastatic, histologically or cytologically confirmed adenocarcinoma of the stomach or gastroesophageal junction that is HER2-positive as assessed by central review, measurable disease per RECIST version 1.0, ECOG performance-status score of 0 or 1, life expectancy of more than 6 months, adequate organ function, provided a tumour sample adequate for assessment of PD-L1 and MSI status",400,200,200,"pembrolizumab (200 mg), trastuzumab (6 mg/kg loading dose, 8 mg/kg maintenance), intravenous chemotherapy with 5-fluorouracil, cisplatin, capecitabine, oxaliplatin",,,,,"intravenous chemotherapy with 5-fluorouracil, cisplatin, capecitabine, oxaliplatin",placebo,postoperative sleep disturbance (POSD) incidence at 24 hours assessed by the Pittsburgh Sleep Quality Index (PSQI),,,gamma-band relative power spectral density,,,,,,,,,,,,,,,,,
34912072,?18 years,female,early breast cancer (BC),"haemoglobin >110 g/L, BMI ?19 kg/m2, no metastatic disease, no chemotherapy for BC or other cancers in last 2 years, no physical/psychiatric conditions limiting diet and PA compliance, no regular medication affecting body composition, diabetes eligible unless on insulin/sulfonylureas",169 patients,86,72,daily corticosteroids,,25% energy restriction diet and physical activity (PA) plan aiming for ?5% weight loss for women with BMI ? 25 kg/m2 or maintaining weight and limiting body fat gains to <1 kg for those with BMI < 25 kg/m2, gradually increase the frequency and intensity of cardiovascular PA with the aim of undertaking 2.5 h (5 × 30 min) of moderate-intensity PA per week (at 60–80% maximum heart rate), undertake a progressive resistance PA programme according to published guidelines for patients receiving adjuvant chemotherapy,"individualised diet and physical activity advice with an initial face-to-face consultation with a dietitian and cancer PA specialist at MFT; reinforced remotely with fortnightly phone calls from their designated trial dietitian to check adherence and address individual concerns; each participant was posted an individualised summary of key motivational, behavioural, diet and PA issues after each call; received 12 standard fortnightly mailings that covered aspects of their allocated diet, weight management, PA and chemotherapy",,"low-energy, low-carbohydrate days providing 650–1000 kcal, 50 g carbohydrate, 50–70 g protein, 30–40 g fat; Mediterranean diet with 30% energy from fat (15% MUFA, 8% PUFA, 7% saturated), 25% energy from protein and 45% from low glycaemic load carbohydrate, including 5 portions of vegetables and 2 portions of fruit per day, and limiting alcohol to <10 U/week",CER control group,,,,"comparable reductions in FACT-TOI-ES, TOI-F and TOI-BC","no changes in CRP, uric acid, PON1 or AOPP:total protein ratio",,,,,,,,,,,,,,
34910390,?18 years,female,"cervical cancer: squamous cell carcinoma or adenocarcinoma, FIGO stages IB-IIA (preoperatively), excluding neuroendocrine differentiation and stage IIA","Histologically proven; Karnofsky-Index ?70; unrestricted operability; BMI <35; no distant metastases except in paraaortic lymph nodes; no scleroderma, lupus erythematodes, mixed connective tissue disease; no secondary malignancy; no previous radiotherapy of the pelvis; no diseases of the connective tissue; BMI < 35",116,116,0,FOLFOX/FOLFIRI plus bevacizumab,"TMMR-procedure evaluation and training, complete pelvic lymphadenectomy, paraaortic lymphadenectomy (only if proven by frozen section), laparotomy",,"self-study of stepwise educational video how to perform the TMMR-procedure (Höckel M, Leipzig 2010; Kimmig R, Essen 2012) & 2-day training at Leipzig School of Radical Pelvic Surgery",,Individual decision for treatment of TMMR and tLNE without adjuvant radiotherapy by the responsible clinic (clinician) on a clinical routine basis.,open surgery,1,1.7,,"second distant recurrence, periaortic lymph node metastases","Recurrence rate for node-positive patients was 10.3% (3/29), in node-negative disease 6.9% of patients experienced a recurrence (6/87). Additional pelvic recurrence reported without further details. Fourth pelvic recurrence occurred 22 months post-surgery, involving right pelvic side wall and bladder; therapy and follow-up data missing.",,,,,,,,,,,,,,,,
34903242,45.58 ± 14.75 years,not specified,breast cancer surgery patients,not specified,3699,not applicable,not applicable,androgen receptor pathway inhibitor (ARPI),breast cancer surgery,,,,minimally invasive mass resection or ultrasound-guided vacuum-assisted breast biopsy,ENZAMET trial (enzalutamide),,,,early favorable PSA response,,,,,,,,,,,,,,,,,
34893523,61 years,69% male,recurrent gastric or GEJ adenocarcinoma,"stratified by PD-L1 status; adequate hematological and hepatic function, creatinine clearance ? 60 mL/min; histologically confirmed inoperable locally advanced or metastatic stomach or GEJ adenocarcinoma; progressed on ?1 prior systemic therapies or lines of treatment for unresectable/metastatic disease; ECOG performance status ? 1; toxicities attributed to prior anticancer therapy (other than alopecia and fatigue) must have resolved to baseline or grade 1; measurable disease according to RECIST V.1.1; tumor sites accessible for repeat biopsies; adequate archival tumor tissue available; not eligible if previously received neoadjuvant or adjuvant therapy for gastric adenocarcinoma, or radiotherapy within 28 days of randomization (except if recovered and radiated sites do not contain lesions to evaluate response); uncontrolled intercurrent illness disqualifies",144 patients,112,113,nivolumab (NIVO),,,,,ADX,NIVO alone,NR,"fatigue (~20% G2 or higher in each arm), decreased appetite (18.3% G2 or higher ADX+NIVO, 14.3% NIVO), nausea (19.7%, 14.3%), and vomiting (18.4%, 7.2%); Grade ?3 AEs occurred in 66% of patients overall; the most common were anemia and abdominal pain",sphincter preservation,"progression-free survival (PFS) median=5.9 months, range=(3.5-10.9), HR=1.33, p=0.10","tolerability, and quality of life (QOL)",,,,,,,,,,,,,,,,
34890214,,Women,"Stage 0-III HER2-positive breast cancer; BMI ? 25 kg/m², operable primary invasive breast carcinoma with node-positive disease (pN ? 1) or node-negative disease (pN0) with pathologic tumor size > 2.0 cm and negative for estrogen receptor (ER) and progesterone receptor (PgR)","Newly diagnosed, histologically confirmed",n = 1838,819,593,trastuzumab,definitive breast surgery,behavioral weight loss (BWL),,,Anthracycline and taxane regimens,anthracycline chemotherapy followed by trastuzumab-plus-pertuzumap,"0.4% (AC-KP), 1.1% (AC-THP)","5.7% (secondary cardiac events, AC-THP), 2.6% (secondary cardiac events, AC-KP), 47.6% (hepatotoxicity, AC-KP), 15.6% (hepatotoxicity, AC-THP), 32.3% (thrombocytopenia, AC-KP), 4.0% (thrombocytopenia, AC-THP), 45.9% (hemorrhage, AC-KP), 25.9% (hemorrhage, AC-THP), 2.2% (pulmonary toxicity, AC-THP), 3.3% (pulmonary toxicity, AC-KP), 1.4% (radiation-related pneumonitis, AC-THP), 2.3% (radiation-related pneumonitis, AC-KP)",,IDFS rates were 94.1% with AC-THP and 92.8% with AC-KP,OS data were immature,,,,,,,,,,,,,,,,
34890060,63.5 (7.7) years,53.8% Black or African American,Clinically localized prostate cancer within 4 months of diagnosis,"Age ? 18 years, positive prostate cancer biopsy within the previous 4 months (clinical T1–3), PSA test < 50 ng/mL, ability to read and comprehend English or have access to translation/interpreter assistance. Exclusion criteria: known metastatic disease, history of noncutaneous malignancy within the last 5 years, concurrent enrollment in another clinical trial for prostate cancer treatment, impaired decision-making capacity (e.g., dementia), patients seeking an initial opinion about their diagnosis and had not yet had an initial consultation about prostate cancer treatment options.",155,62,93,,,,Prostate Cancer Choice,,"Nutritional, psychological, and rehabilitation support delivered by a team including oncology nurse specialists, radiation and medical oncologists, dietitians, psychotherapists, and rehabilitation physicians",Usual care,Radiotherapy interruption rate,,Quality of Life assessed using the European Organisation for Research and Treatment of Cancer QOL Questionnaire-Core 30 (QLQ-C30),"Psychological status assessed using distress thermometer (DT), the Patient Health Questionnaire-9 (PHQ-9), and the Hospital Anxiety and Depression Scale (HADS)",,,,,,,,,,,,,,,,,
34890045,64 years,56% female,Patients with advanced cancer,English-speaking adults enrolled in NCI-MATCH with email and web access and had not received their tumor genetic test results,594,293,301,,,,web-based genetic education,State-Trait Anxiety Inventory,posteducation survey,Usual Care,,Adverse reactions,"Cancer-specific distress (-2.4 vs 0.9; P = .01), general anxiety (slope = -0.11; P = .07 against 0; R2 = 0.018), depression (slope = 0.22; P = .01 against 0; R2 = 0.037)",,Inflammatory biomarkers, Level of lymphocyte subsets and NK cells,,,,,,,,,,,,,,,
34889235,?18 years,"male (91%), female (9%), White (93%)","Oropharyngeal cancer stage III or IV with ECOG performance status 0-2, TNM stage IV, postoperative recurrence, metastasis, loss of operation without operation; excluded patients who did not take Traditional Chinese medicine in the recent 1 month; no other primary tumors and serious heart, liver, and kidney diseases",Patients aged >18 years and expected survival ?3 months,120 participants,60,60,"FOLFIRI (Irinotecan + Leucovorin 400 mg/m2 d1 + Fluorouracil 400 mg/m2 d1 + Fluorouracil 2–32.4 g/m2 46 h), XELOX (Oxaliplatin 85 mg/m2 d1 + Capecitabine 850–1000 mg/m2 bid d1-14)",,,,,intravenous high-energy nutrition,basic anti-tumor therapy,Deaths from disease progression occurred in 27 patients, 18 in the IMRT group and nine in the IMPT group,"Treatment-related deaths occurred in nine patients; six in the IMRT group and three in the IMPT group; Severe lymphopenia was more common in the IMRT group (89% vs 76%), as were dysphagia (49% vs 31%), xerostomia (45% vs 33%), and gastrostomy tube dependence (40·2% vs 26·8%; p=0·018)",,,,,,,,,,,,,,,,,,
34886430,not specified,matched,"cancer survivors receiving or within six-months of active cancer treatment (chemotherapy, radiation therapy, or surgery)",enrolled in an existing exercise program, ability to attend a minimum of five out of six PABCC sessions,60 patients,30,30,,,exercise training,PABCC sessions,Social Cognitive Theory,focus group,existing exercise training program,,Survivors reported PABCC felt redundant at times.,There were some aspects that seemed formulaic like questions/responses.,,"Time and resources required for implementing the PABCC sessions included printing study workbooks (15 books @ USD 21.75 per book = USD 326.25), 12 h spent adapting sessions, 2 h training exercise program staff on informed consent procedures, 52 h preparing for PABCC sessions (e.g., randomization, participant email correspondence, and PABCC session preparation), and 39 h spent delivering PABCC sessions. Process fidelity was assessed using a check list of 28 items (Supplementary File S1), all items were completed 'some of the time' or 'most of the time'.",,,,,,,,,,,,,,,
34886058,47 years,female,"breast cancer risk, cervical cancer risk","asymptomatic women aged 45-49 years, living in Okazaki City on 31 March 2018, never participated in breast or cervical cancer screening, could connect to the internet without assistance",414,144,270,DTC-GT,,,health warning messages addressing the relationship between alcohol consumption and increased breast cancer risk, short lecture on primary and secondary cancer prevention for breast and cervical cancer,,"standalone health warning messages about alcohol, breast cancer, and breast cancer health effects with varying picture and text attributes; personalized cancer risk predictions according to genotype, advice about cancer prevention on a webpage",72,,,lack of awareness,,"message reactions, attitudes and beliefs, and behavioral intentions",,,,,,,,,,,,,,,
34882313,not specified,not specified,lung cancer,lobectomy under two– or one–port thoracoscopy with or without simultaneous lymph node dissection,86,44,42,opioids or NSAIDs,lobectomy under two-or one-port thoracoscopy with or without simultaneous lymph node dissection,"aerobic exercise and breathing exercises; chest type, abdominal type or both; deep breathing in a calm state; chest circumference measurement at the fourth intercostal level",Asian-validated risk prediction tool (RPT),,stratified risk,conventional PR (CVPR) treatment,,,CRC screening uptake,,,,,,,,,,,,,,,,,,
34880973,?25 years,not specified,esophageal lesions suspected by endoscopy,"(1) esophageal lesions; (2) age ? 25; (3) ability to communicate and describe symptoms; (4) history of early upper gastrointestinal cancer, not cured, under observation and treatment in the inpatient department.",80,endoscopy combined with ultrasonic imaging based on intelligent algorithm processing (Cascade RCNN model),endoscopy alone,docetaxel-based chemotherapy,"endoscopic mucosal resection, mucosal dissection, or surgical treatment",,,,TDM-guided dosing,endoscopy alone group,,Adverse drug reactions,,"Detection rates: CNN model - 56.3% (45/80), Cascade RCNN model - 88.8% (71/80), endoscopy alone - 44.1% (35/80). P < 0.05 for comparison between CNN/Cascade RCNN and endoscopy alone, P > 0.05 for comparison between Cascade RCNN and CNN.",Pharmacoeconomic data (treatment-related costs),,,,,,,,,,,,,,,,
34880055,not specified,not specified,early stage (stages I-III) breast cancer,"starting adjuvant or neoadjuvant chemotherapy, excluded if receiving investigational drug or treated exclusively with hormonal or targeted treatments",2158,944,1214,talazoparib,,,baseline patient education on chemotherapy and common side effects,,SGC formulation (soft gelatin capsule), HC formulation (hard capsule),treatment arm,,safety profile,,,,,,,,,,,,,,,,,,
34878991,"57.8 years old (SD 3.77), range: 54 to 64","4 females, 1 male",CRC (colorectal cancer),English- and Chinese-speaking patients scheduled to undergo elective CRC surgeries,5,,,Probiotic containing a mixture of several strains of Lactobacillus and Bifidocaterium species,CRC surgeries,,"iCanManage program, self-efficacy training, perioperative counseling",Bandura's self-efficacy theory,,Placebo,,,,,,,,,,,,,,,,,,,,,
34878659,61 years,men (73%), women (27%),locally advanced unresectable or metastatic PD-L1-positive (CPS ? 1) gastric or GEJ adenocarcinoma,"histologically or cytologically confirmed diagnoses, RECIST v1.1-measurable disease, ECOG PS 0 or 1, documented disease progression during or after first-line therapy containing any platinum/fluoropyrimidine doublet chemotherapy, and a tumor sample for PD-L1 assessment; HER2-negative tumors eligible; HER2-positive tumors had to have documentation of disease progression on treatment containing trastuzumab; unknown tumor status had to have their HER2 status determined locally",360,47,47,"pembrolizumab 200 mg intravenously every 3 weeks and paclitaxel 80 mg/m2 intravenously on days 1, 8, and 15 of each 4-week cycle",,,"16-page A5 booklet, 2-page A4 leaflet and a 3-minute animated video",,,paclitaxel,,,"acceptability, comprehension, ease of understanding and balance of information of the tool",informed choice (defined as adequate knowledge and congruency between attitudes and screening intentions),,,,,,,,,,,,,,,,
34874061,55.5 years,mostly female (49 [77.8%]),patients with early-stage triple-negative breast cancer (TNBC) with node-positive or node-negative (tumor size ?1.0 cm) disease,"optional participation, data collection only",63,31,32,four cycles of EC followed by four cycles T with or without carboplatin adjuvant chemotherapy,,,ENABLE Cornerstone intervention,"phone coaching sessions, caregiver distress screening",monthly check-in calls,usual care,,,,"HADS distress score, HADS anxiety subscale score, CQOL-C score","difference, effect size (d)",,,,,,,,,,,,,,,,
34873249,53.3 ± 9.3 years (low-risk) vs 47.9 ± 9.8 years (high-risk),"more women premenopausal in high-risk group (66.9%, p < 0.001)",Hormone receptor-positive and HER2-negative breast cancer,T1-3N0-1M0,409,306,103,propofol or volatile agent for maintenance of general anesthesia,,,,,,volatile agent,all-cause mortality,,disease-free survival,,,,,,,,,,,,,,,,,,
34867113,45-74 years,"Male: 51/100, Female: 49/100",Advanced lung cancer,Patients diagnosed with advanced lung cancer from July 2019 to January 2020 at the Second Affiliated Hospital of a University of Traditional Chinese Medicine,100 patients,50,50,Meat-based diet with ?-tocopherol supplementation (MBD-T),Meat-based diet (MBD),,Pesco-vegetarian diet (PVD),psychological counseling nursing,comprehensive nursing intervention,Comprehensive nursing intervention including head massages for alopecia and provision of mints by caregivers for vomiting,,Complications (Table 2),,,"Detection rate of pulmonary nodules: 87.5%, False-positive nodules per set: 8",,,,,,,,,,,,,,,,
34862101,64 [8.7] years, 43 [61%] male,male (61%),adults with a body mass index of 28 or greater who were awaiting curative elective colorectal cancer resection,"recruited via personal contacts, multidisciplinary professional body mailing lists representing HNC clinicians (BAHNO and BAHNON), and suggestions from participants",,,,,,,AHP/nurse-led education session,,PIFU,usual care,"morbidity, symptoms, and changes in weight and fat-free mass",,patient anxiety, fear of recurrence,,"patient/carer burden, managing patient expectations",,,,,,,,,,,,,,
34860318,cancer patients (ages 25-55),,HR+ HER2– PIK3CA/AKT1/PTEN-altered measurable aBC,"inappropriate for endocrine-based therapy, candidate for taxane monotherapy, Eastern Cooperative Oncology Group performance status 0 or 1, no previous chemotherapy for aBC within last year, no brain or spinal cord metastases, prior CDK4/6 and PI3K/mTOR inhibitors permitted",222,134,73,ipatasertib,,,Yoga-Nidra,,loperamide,placebo,,,psychological distress,"quality of life, including functioning, symptoms, and global health were assessed pre- and post-intervention using the NCCN Distress Thermometer and EORTC QLQ-C30",,,,,,,,,,,,,,,,,
34860287,4–17 years,not specified,CCPs undergoing cancer treatment,"stratified randomization with age, sex, tumor entity, and physical performance status as stratification factors",N = 25,exercise group (EG),control group (CG),Enzalutamide and abiraterone oral treatment,,"exercise intervention including three sessions per week (45–60min) of patient-adapted, moderate intensity endurance and strength exercises.",,,,standard-of-care,,,,,associations of metabolic activity groups with drug clearance,,,,,,,,,,,,,,,,
34857397,60-69 years,women,colorectal cancer,participation in GOG-218,44,all participants,not applicable,,,,mindfulness training,,,placebo,,,positive emotion, mindful attention awareness, negative emotion,,,,,,,,,,,,,,,,
34856936,,,non-metastatic muscle-invasive bladder cancer (MIBC),"histologically confirmed urothelial carcinoma or mixed histology with predominant urothelial component (> 50%), treatment-naïve patients, non-metastatic MIBC candidate for surgery as determined by an attending urologist, Tumor stage: T2-T4a, N0-N+, M0, ECOG performance status 0 or 1, adequate bone marrow and liver function, cisplatin-based chemotherapy eligibility includes creatinine clearance ?60 mL/min (assessed per Cockcroft-Gault formula), peripheral neuropathy ? grade 1, hearing impaired ? grade 1 and adequate cardiac function (Left Ventricular Ejection Fraction LVEF ?55%) by MUGA (Multiple-Gated Acquisition) scan or echocardiography.",564,282,282,cisplatin,standard radical cystectomy with bilateral pelvic lymph node dissection,,,,avelumab,CG,,,,progression-free (PFS) and overall survival (OS),,,,,,,,,,,,,,,,,
34856706,"61 years (range, 31 to 77 years)",13 male and 7 female,advanced NSCLC,patients with advanced NSCLC who had a history of failed frontline platinum-based therapy and PD-L1+ TPS ? 1%, eligible for DLT evaluation if they experience a DLT after at least one dose of study drug or do not experience a DLT having taken a minimum of 75% of the doses expected during the DLT observation period, subjects who did not fulfill these requirements and discontinued participation prior to completing the DLT observation period were replaced for DLT evaluation but remained in overall safety and efficacy analyses,20 patients,"12 subjects (2:1 randomization ratio, pembrolizumab + SNK01)",8 subjects (pembrolizumab monotherapy),pembrolizumab,,"online high-intensity interval and strength training, guided daily by autonomic modulation",,,ex vivo expanded NK cells (SNK01),pembrolizumab alone,,no dose-limiting toxicity (DLT) reported,,,maximum tolerated dose (MTD) determined as SNK01 4×10^9 cells/dose,,,,,,,,,,,,,,
34847060,0-19 years,pre/postmenopausal women and men,cancer diagnosis in pediatric patients,"(1) child aged 0-19 years with cancer diagnosed within the past year; (2) ability to read Chinese and speak Mandarin; (3) smartphone with WeChat app. Excluded: parents with cognitive impairments or physical disabilities, those participating in other psychological interventions or consultations.",103,52,51,,,6-Dimension Health Survey,caring manual,,tweets with information,47,OS,,,iDFS, recurrence-free survival,,,,,,,,,,,,,,,,
34846525,55 [47-62] years,"63.7% male, 36.3% female",Stage II to III (M0) rectal cancer,Patients with left-sided RAS/BRAF WT tumors who have undergone curative surgical procedures (total mesorectal excision) with negative resection margins (R0 resection),589 patients,294,295,capecitabine,total mesorectal excision with negative resection margins (R0 resection),,,,oxaliplatin,capecitabine,OS (overall survival),PFS (progression-free survival),,ORR (objective response rate),,,,,,,,,,,,,,,,,
34842950,Not specified,Not specified,metastatic castration-resistant prostate cancer (mCRPC),"chemotherapy-naïve patients, Gleason score ? 8, prior treatment with NAADs in 65% of patients, ECOG performance score ? 2, adequate haematological, renal, and liver function reserve",40 patients,20 patients (experimental arm-177Lu-PSMA-617),20 patients (control arm-docetaxel),docetaxel,,,,,177Lu-PSMA-617,docetaxel,"4/20 patients in the 177Lu-PSMA-617 arm died before their scheduled assessments (3 disease-related deaths plus 1 toxicity-related death), while follow-up 68 Ga-PSMA-11 PET/CT was not possible in 2 other patients due to COVID-19 lockdown","grade 1/2 anaemia (45%, 95% CI; 23–67) in 177Lu-PSMA-617 arm, grade 1/2 anaemia (55%, 95% CI: 33–77) in docetaxel arm; grade 3/4 lymphopenia necessitating dose reduction in one patient in 177Lu-PSMA-617 arm; persistent grade 4 thrombocytopenia leading to treatment-related deaths (grade 5 toxicity) in three patients",patient satisfaction scores,"Gleason score ? 8 (70% in 177Lu-PSMA-617 arm, 60% in docetaxel arm), prior treatment with NAADs (65%, 14/20 in 177Lu-PSMA-617 arm, 12/20 in docetaxel arm)","radiological response assessment using serial 68 Ga-PSMA-11 PET/CT was feasible in 19/20 patients in the docetaxel arm, but in 14/20 patients in the 177Lu-PSMA-617 arm",,,,,,,,,,,,,,,,
34838891,,gender not specified,patients with gastric adenocarcinoma,institutional credentialing required for 45% of trials,107 patients,"54 received Menadione + XELOX, 53 received XELOX alone",,Menadione + XELOX,RT (Radiation Therapy),,,,,XELOX alone,,,,"RT characteristics (total dose and fractionation schedule), use of motion control techniques","institutional credentialing requirements, RTQA protocols, phantom analysis, facility questionnaire, protocol deviations",,,,,,,,,,,,,,,,
34837899,"53.50 ± 15.39 years (control group), 57.44 ± 10.29 years (treatment group)","male: 56.3% (treatment group), 68.8% (control group)",pre-diagnosed lung cancer patients,new patients with pre-diagnosed lung cancer, patients obtaining oral or written consent at the start of the study and signing, and patients meeting the anxiety symptom criteria based on the Hamilton Anxiety Rating Scale (HARS) instrument.,32 patients,21,11,pembrolizumab,,,,CBT,,standard therapy,,,improving quality of life,,,,,,,,,,,,,,,,
34836345,55 years,female,stage I–III breast cancer,"Women aged 18–75 years, diagnosis of stage I–III breast cancer in the previous year, BMI 25–45 kg/m2, completed primary cancer treatment (excluding endocrine treatment), no pregnancy, no contraindications to unsupervised exercise, no >5% weight loss within the previous six months, sufficient English, and no self-reported anxiety and/or depression that would interfere with participation.",394 women,159,159,True,False,False,False,False,False,Control: Usual Care with Brief Feedback,,,,,,,,,,,,,,,,,,,,,
34823494,59 years (SD 12),not specified,breast cancer (78%), Triple-negative breast cancer (TNBC) patients without a pCR (non-pCR),PA data available at the end of exercise intervention and 12-month follow-up, met international exercise guidelines for cancer survivors,481,316,261,denosumab,,"exercise (at least 75 min/week of vigorous intensity aerobic PA or 150 min/week of moderate intensity aerobic PA or 90 min/week of moderate-to-vigorous intensity aerobic PA, and/or two sessions of resistance training/week)",self-regulatory BCTs,BCTs,,LMI with self-regulatory BCTs,,,,"BMI increases over the course of the exercise intervention (OR = 0.63, 95%CI [0.44–0.90], p = 0.010)",,,,,,,,,,,,,,,
